id,name,category,price,sizes,colors,material,fit,style,description
SKU-D001,Straight-Leg Raw Denim Jeans,jeans,98.0,"28,30,32,34,36",Indigo,Denim,straight,classic,Raw denim jeans with a straight leg and sturdy feel.
SKU-D002,Slim Fit Stretch Jeans,jeans,89.0,"28,30,32,34,36","Dark Blue",Denim,slim,modern,Slim fit jeans with a hint of stretch for everyday comfort.
SKU-D003,Relaxed Tapered Jeans,jeans,105.0,"30,32,34,36","Light Wash",Denim,relaxed,casual,Relaxed through the thigh with a tapered ankle.
SKU-D004,Black Selvedge Jeans,jeans,129.0,"28,30,32,34,36",Black,Denim,slim,premium,Black selvedge denim with a clean finish and structured fit.
SKU-D005,Denim Trucker Jacket,jackets,120.0,"S,M,L,XL","Medium Blue",Denim,regular,workwear,Classic trucker jacket with durable denim and chest pockets.
SKU-D006,Oversized Denim Jacket,jackets,135.0,"S,M,L","Light Blue",Denim,oversized,street,Oversized denim jacket designed for easy layering.
SKU-D007,Denim Shirt Jacket,shirts,88.0,"S,M,L,XL",Indigo,Denim,regular,smart-casual,Denim shirt jacket with a clean collar and snap buttons.
SKU-D008,Wide-Leg Denim Jeans,jeans,110.0,"28,30,32,34","Mid Blue",Denim,wide-leg,trendy,Wide-leg jeans with a high-rise waist and relaxed drape.
SKU-D009,Cropped Denim Jacket,jackets,115.0,"XS,S,M",Black,Denim,cropped,minimal,Cropped denim jacket with a sharp hem and simple hardware.
SKU-D010,Denim Shorts,shorts,59.0,"28,30,32,34","Light Blue",Denim,regular,casual,Denim shorts with a clean hem and comfortable rise.
