id,name,category,price,sizes,colors,material,season,style,description,image_url
SKU-1001,Classic Denim Jacket,jackets,89.99,"XS,S,M,L","Light Blue",Denim,all-season,casual,Everyday denim jacket with a clean silhouette and light structure,https://example.com/images/sku-1001.jpg
SKU-1002,Quilted Puffer Jacket,jackets,129.0,"S,M,L",Black,Nylon,winter,street,Warm quilted puffer with a high collar for cold-weather layering,https://example.com/images/sku-1002.jpg
SKU-1003,Cotton Oxford Shirt,shirts,54.5,"S,M,L,XL","White,Blue",Cotton,spring,smart-casual,Crisp oxford shirt designed to look polished without feeling stiff,
SKU-1004,Relaxed Linen Shirt,shirts,62.0,"S,M,L","Beige,White",Linen,summer,coastal,Breathable linen shirt with a relaxed fit for warm days,
SKU-1005,Slim Chino Pants,pants,74.99,"30,32,34,36","Navy,Khaki",Cotton,all-season,smart-casual,Slim chinos with a comfortable waistband and clean finish,
SKU-1006,Straight-Leg Jeans,pants,79.0,"28,30,32,34,36",Indigo,Cotton,all-season,casual,Straight-leg jeans with a mid-rise and classic five-pocket style,
SKU-1007,Merino Crewneck Sweater,knitwear,98.0,"S,M,L",Charcoal,Merino Wool,fall,classic,Soft merino crewneck that layers easily over shirts,
SKU-1008,Cashmere Blend Cardigan,knitwear,149.0,"S,M,L",Camel,Cashmere Blend,winter,premium,Lightweight cardigan with a smooth hand feel and refined buttons,
SKU-1009,Everyday Graphic Tee,shirts,32.0,"S,M,L,XL","Black,White",Cotton,all-season,street,Comfortable tee with a minimal front graphic and durable stitching,
SKU-1010,Ribbed Tank Top,shirts,24.0,"XS,S,M","White,Sand",Cotton,summer,minimal,Ribbed tank designed for layering or warm-weather wear,
SKU-1011,Tech Jogger Pants,pants,84.0,"S,M,L",Black,Polyester,all-season,athleisure,Stretch joggers with zip pockets and a tapered leg,
SKU-1012,Wide-Leg Trousers,pants,95.0,"2,4,6,8",Black,Wool Blend,fall,tailored,Wide-leg trousers with a tailored waist and fluid drape,
SKU-1013,Leather Biker Jacket,jackets,249.0,"S,M,L",Black,Leather,fall,edgy,Classic biker jacket with asymmetric zip and structured shoulders,https://example.com/images/sku-1013.jpg
SKU-1014,Lightweight Windbreaker,jackets,99.0,"S,M,L",Olive,Nylon,spring,sport,Packable windbreaker with a breathable lining and adjustable hood,
SKU-1015,Flannel Overshirt,shirts,69.0,"S,M,L","Red,Black",Cotton,fall,workwear,Soft flannel overshirt made for layering over tees and knits,
SKU-1016,Stretch Dress Shirt,shirts,72.0,"S,M,L,XL",White,Cotton Blend,all-season,formal,Sharp dress shirt with subtle stretch for comfort during long days,
SKU-1017,Pleated Midi Skirt,skirts,88.0,"XS,S,M",Black,Polyester,spring,feminine,Pleated midi skirt with a clean waistband and easy movement,
SKU-1018,A-Line Mini Skirt,skirts,58.0,"XS,S,M",Denim Blue,Cotton,summer,casual,A-line mini skirt in denim with a flattering high waist,
SKU-1019,Core Hoodie,hoodies,79.0,"S,M,L",Heather Gray,Cotton,all-season,street,Essential hoodie with a soft interior and structured hood,
SKU-1020,Zip-Up Fleece,hoodies,74.0,"S,M,L",Navy,Polyester,winter,athleisure,Cozy zip-up fleece designed for warmth without bulk,
SKU-1021,Minimal Slip Dress,dresses,112.0,"XS,S,M",Black,Silk Blend,summer,premium,Minimal slip dress with a smooth drape and adjustable straps,
SKU-1022,Wrap Day Dress,dresses,98.0,"XS,S,M",Emerald,Viscose,spring,classic,Wrap dress with a flattering waist tie and lightweight feel,
SKU-1023,Cotton Shorts,shorts,49.0,"28,30,32,34",Stone,Cotton,summer,casual,Cotton shorts with a clean hem and comfortable fit,
SKU-1024,Swim Trunks,shorts,45.0,"S,M,L",Teal,Polyester,summer,resort,Quick-dry swim trunks with a comfortable mesh lining,
SKU-1025,Classic Trench Coat,jackets,189.0,"S,M,L",Sand,Cotton Blend,spring,classic,Timeless trench coat with a belt and storm flap for a polished finish,
